회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
WISCOM,024070,플라스틱제품 제조업,"플라스틱제품(PVC컴파운드,ABS,PS가공) 제조,도매,임가공",11/22/1996,12월,구영일,http://www.wiscom.co.kr,경기도
동원수산,030720,어로 어업,"원양어업/수산물 제조,가공/참치어류 냉동냉장업",11/22/1996,12월,단독대표이사 사장 왕기철,http://www.dongwonfish.co.kr,서울특별시
미래산업,025560,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","PCB마운터,반도체검사장비(반도체테스트핸들러),LCD 검사장비,리드프레임매가진 제조,도매,무역",11/22/1996,12월,선종업,http://www.mirae.co.kr,충청남도
KTB투자증권,030210,금융 지원 서비스업,"금융업, 서비스, 부동산",11/19/1996,12월,"이병철, 이창근 (각자 대표이사)",http://www.ktb.co.kr,서울특별시
양지사,030960,인쇄 및 인쇄관련 산업,다이어리,10/24/1996,06월,이현,http://www.yangjisa.com,경기도
HDC,012630,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",10/16/1996,12월,"정몽규, 유병규",http://www.i-park.com,서울특별시
광전자,017900,반도체 제조업,"트랜지스터,SMD TR,발광소자,리모콘모듈,발광다이오드(L.E.D),다이오드용웨이퍼팹(Fab) 제조,판매",10/16/1996,12월,이석렬,http://www.auk.co.kr,전라북도
한국단자공업,025540,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전기변환장치(광커넥터,통신용콘넥터,정밀압착단자설계) 제조,무역(수출)",10/16/1996,12월,"이창원,이원준",http://www.ket.com,인천광역시
원익홀딩스,030530,특수 목적용 기계 제조업,가스캐비닛,9/24/1996,12월,박영규,http://www.wonikholdings.kr,경기도
한글과컴퓨터,030520,소프트웨어 개발 및 공급업,오피스소프트웨어,9/24/1996,12월,"변성준, 김연수 (각자대표)",http://www.hancom.com,경기도
메이슨캐피탈,021880,기타 금융업,리스수입,9/2/1996,03월,정현종,http://mason-capital.co.kr,전라북도
대호특수강,021040,1차 철강 제조업,냉간압조용선재,8/27/1996,12월,강근욱,http://www.dhstl.co.kr,경상남도
릭스솔루션,029480,통신 및 방송 장비 제조업,"네트워크 통합사업,네트워크 장비, 光 전송장비, S/W 제조, 네트워크관리",8/27/1996,12월,"이상연, 이재영(각자 대표이사)",http://www.kdccorp.co.kr,서울특별시
디아이,003160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","반도체검사장비,전자부품,레저용품,석제품 제조,판매,오파,부동산임대업",7/31/1996,12월,"박원호, 장일선",http://www.di.co.kr,서울특별시
신성이엔지,011930,반도체 제조업,"태양전지, 태양광모듈 제조 및 판매, 태양광 발전설치공사, 클린룸, 자동화장비",7/31/1996,12월,"이지선, 안윤수",http://www.shinsungeng.com,경기도
티에이치엔,019180,기타 전기장비 제조업,"자동차부품(전기배선장치류) 제조,도매",7/31/1996,12월,"이광연, 채승훈",http://www.th-net.co.kr,대구광역시
