,cd,nm
614,000230.KS,일동홀딩스보통주
615,013360.KS,일성건설보통주
616,003120.KS,일성신약보통주
617,003200.KS,일신방직보통주
618,007110.KS,일신석재보통주
619,007575.KS,일양약품1우선주
620,007570.KS,일양약품보통주
621,008500.KS,일정실업보통주
622,081000.KS,일진다이아몬드 보통주
623,020760.KS,일진디스플레이보통주
624,020150.KS,일진머티리얼즈보통주
625,103590.KS,일진전기 보통주
626,015860.KS,일진홀딩스보통주
627,226320.KS,잇츠한불보통주
628,317400.KS,자이에스앤디보통주
629,033240.KS,자화전자보통주
630,000950.KS,전방보통주
631,348950.KS,제이알글로벌리츠보통주
632,194370.KS,제이에스코퍼레이션보통주
633,025620.KS,제이준코스메틱보통주
634,036420.KS,제이콘텐트리보통주
635,030000.KS,제일기획보통주
636,271980.KS,제일약품보통주
637,001560.KS,제일연마공업보통주
638,002620.KS,제일파마홀딩스보통주
639,006220.KS,제주은행보통주
640,089590.KS,제주항공보통주
641,004910.KS,조광페인트보통주
642,004700.KS,조광피혁보통주
643,001550.KS,조비보통주
644,000480.KS,조선내화보통주
645,120030.KS,조선선재 보통주
646,018470.KS,조일알미늄보통주
647,002600.KS,조흥보통주
648,063160.KS,종근당바이오보통주
649,185750.KS,종근당보통주
650,001630.KS,종근당홀딩스보통주
651,070960.KS,주식회사 용평리조트
652,023450.KS,주식회사동남합성
653,002380.KS,주식회사케이씨씨
654,044380.KS,주연테크 보통주
655,024110.KS,중소기업은행보통주
656,013890.KS,지누스보통주
657,001250.KS,지에스글로벌보통주
658,007070.KS,지에스리테일보통주
659,013870.KS,지엠비코리아보통주
660,071320.KS,지역난방공사보통주
661,010580.KS,지코보통주
662,035000.KS,지투알보통주
663,088790.KS,진도 보통주
664,003780.KS,진양산업보통주
665,010640.KS,진양폴리우레탄보통주
666,100250.KS,진양홀딩스보통주
667,051630.KS,진양화학보통주
668,272450.KS,진에어보통주
669,011000.KS,진원생명과학보통주
670,002785.KS,진흥기업1우선주(신형)
671,002787.KS,진흥기업2우선주(신형)
672,002780.KS,진흥기업보통주
673,009310.KS,참엔지니어링보통주
674,000650.KS,천일고속보통주
675,033250.KS,체시스보통주
676,035720.KS,카카오보통주
677,006380.KS,카프로보통주
678,109070.KS,컨버즈보통주
679,001620.KS,케이비아이동국실업보통주
680,009440.KS,케이씨그린홀딩스보통주
681,029460.KS,케이씨보통주
682,344820.KS,케이씨씨글라스보통주
683,119650.KS,케이씨코트렐보통주
684,281820.KS,케이씨텍보통주
685,044450.KS,케이에스에스 해운 보통주
686,092220.KS,케이이씨 보통주
687,145270.KS,케이탑리츠보통주
688,030200.KS,케이티보통주
689,030210.KS,케이티비투자증권보통주
690,053210.KS,케이티스카이라이프
691,058850.KS,케이티씨에스보통주
692,058860.KS,케이티아이에스보통주
693,033780.KS,케이티앤지보통주
694,357120.KS,코람코에너지플러스리츠보통주
695,007815.KS,코리아써키트1우선주
696,00781K.KS,코리아써키트2우선주(신형)
697,007810.KS,코리아써키트보통주
698,003690.KS,코리안리재보험보통주
699,192820.KS,코스맥스보통주
700,044820.KS,코스맥스비티아이 주식회사 보통주
701,005070.KS,코스모신소재보통주
702,005420.KS,코스모화학보통주
703,071950.KS,코아스보통주
704,002025.KS,코오롱1우선주
705,003075.KS,코오롱글로벌1우선주
706,003070.KS,코오롱글로벌보통주
707,144620.KS,코오롱머티리얼보통주
708,002020.KS,코오롱보통주
709,120115.KS,코오롱인더스트리1우선주
710,120110.KS,코오롱인더스트리보통주
711,138490.KS,코오롱플라스틱보통주
712,021240.KS,코웨이보통주
713,031820.KS,콤텍시스템보통주
714,192400.KS,쿠쿠홀딩스보통주
715,284740.KS,쿠쿠홈시스보통주
716,015590.KS,큐로보통주
717,26490K.KS,크라운제과1우선주
718,264900.KS,크라운제과보통주
719,005745.KS,크라운해태홀딩스1우선주
720,005740.KS,크라운해태홀딩스보통주
721,020120.KS,키다리스튜디오보통주
722,039490.KS,키움증권보통주
723,012170.KS,키위미디어그룹보통주
724,014580.KS,태경비케이보통주
725,015890.KS,태경산업보통주
726,006890.KS,태경케미컬보통주
727,003240.KS,태광산업보통주
728,011280.KS,태림포장보통주
729,004105.KS,태양금속공업1우선주
730,004100.KS,태양금속공업보통주
731,009410.KS,태영건설보통주
732,009415.KS,태영건설우선주
733,001420.KS,태원물산보통주
734,007980.KS,태평양물산보통주
735,055490.KS,테이팩스보통주
736,078000.KS,텔코웨어 보통주
737,214420.KS,토니모리보통주
738,019180.KS,티에이치엔보통주
739,36328K.KS,티와이홀딩스1우선주
740,363280.KS,티와이홀딩스보통주
741,091810.KS,티웨이항공보통주
742,004870.KS,티웨이홀딩스보통주
743,005690.KS,파미셀보통주
744,036580.KS,팜스코보통주
